,order_id,order_date,customer_id,city,province,product_id,brand,quantity,item_price,total_price
15450,1662229,2019-06-16,16556,Jakarta Pusat,DKI Jakarta,P3191,BRAND_S,24,159000,3816000
15451,1662295,2019-06-16,14769,Bekasi,Jawa Barat,P0886,BRAND_C,6,240000,1440000
15452,1662241,2019-06-16,16931,Jakarta Pusat,DKI Jakarta,P2103,BRAND_L,3,590000,1770000
15453,1662337,2019-06-16,17611,Jakarta Pusat,DKI Jakarta,P1402,BRAND_F,1,695000,695000
15454,1662208,2019-06-16,15281,Semarang,Jawa Tengah,P0311,BRAND_B,3,1745000,5235000
15455,1662295,2019-06-16,14769,Bekasi,Jawa Barat,P3408,BRAND_S,2,240000,480000
15456,1662217,2019-06-16,13555,Jakarta Barat,DKI Jakarta,P1518,BRAND_G,12,695000,8340000
15459,1662295,2019-06-16,14769,Bekasi,Jawa Barat,P1404,BRAND_F,8,1325000,10600000
15460,1662229,2019-06-16,16556,Jakarta Pusat,DKI Jakarta,P1105,BRAND_D,2,2795000,5590000
15461,1662310,2019-06-16,15555,Depok,Jawa Barat,P0036,BRAND_A,2,240000,480000
15462,1662259,2019-06-16,16945,Jakarta Timur,DKI Jakarta,P0733,BRAND_C,10,310000,3100000
15463,1662217,2019-06-16,13555,Jakarta Barat,DKI Jakarta,P2115,BRAND_M,48,159000,7632000
15464,1662250,2019-06-16,18125,Bogor,Jawa Barat,P0674,BRAND_C,12,159000,1908000
15465,1662208,2019-06-16,15281,Semarang,Jawa Tengah,P1701,BRAND_H,12,450000,5400000
15466,1662211,2019-06-16,13555,Jakarta Barat,DKI Jakarta,P1742,BRAND_H,10,590000,5900000
15467,1662355,2019-06-16,16592,Jakarta Timur,DKI Jakarta,P4137,BRAND_W,25,159000,3975000
15468,1662298,2019-06-16,16341,Yogyakarta,Yogyakarta,P2260,BRAND_M,12,450000,5400000
15469,1662295,2019-06-16,14769,Bekasi,Jawa Barat,P0066,BRAND_A,2,747000,1494000
15470,1662289,2019-06-16,14921,Jakarta Selatan,DKI Jakarta,P2764,BRAND_P,12,590000,7080000
15471,1662211,2019-06-16,13555,Jakarta Barat,DKI Jakarta,P2074,BRAND_L,4,2095000,8380000
15472,1662325,2019-06-16,13668,Jakarta Pusat,DKI Jakarta,P4200,BRAND_Z,12,345000,4140000
15473,1662241,2019-06-16,16931,Jakarta Pusat,DKI Jakarta,P2800,BRAND_P,4,310000,1240000
15474,1662316,2019-06-16,14711,Bogor,Jawa Barat,P3752,BRAND_T,1,450000,450000
15475,1662331,2019-06-16,13468,Bogor,Jawa Barat,P2978,BRAND_R,2,3494000,6988000
15477,1662295,2019-06-16,14769,Bekasi,Jawa Barat,P2213,BRAND_M,6,303000,1818000
15478,1662214,2019-06-16,13113,Surakarta,Jawa Tengah,P3700,BRAND_T,50,1465000,73250000
15479,1662307,2019-06-16,14647,Malang,Jawa Timur,P0305,BRAND_B,2,904000,1808000
15480,1662295,2019-06-16,14769,Bekasi,Jawa Barat,P0255,BRAND_A,8,604000,4832000
15481,1662295,2019-06-16,14769,Bekasi,Jawa Barat,P3827,BRAND_V,12,450000,5400000
15482,1662226,2019-06-16,16038,Jakarta Timur,DKI Jakarta,P2190,BRAND_M,8,520000,4160000
15483,1662283,2019-06-16,15716,Jakarta Selatan,DKI Jakarta,P2667,BRAND_P,2,1920000,3840000
15484,1662211,2019-06-16,13555,Jakarta Barat,DKI Jakarta,P3304,BRAND_S,12,450000,5400000
15485,1642465,2019-04-17,13821,Yogyakarta,Yogyakarta,P3807,BRAND_T,1,1745000,1745000
15487,1642531,2019-04-17,15245,Jakarta Selatan,DKI Jakarta,P1867,BRAND_J,12,520000,6240000
15488,1642501,2019-04-17,13408,Jakarta Timur,DKI Jakarta,P2063,BRAND_L,36,159000,5724000
15489,1642612,2019-04-17,13534,Jakarta Barat,DKI Jakarta,P3637,BRAND_S,10,450000,4500000
15490,1642252,2019-04-17,13239,Jakarta Pusat,DKI Jakarta,P0702,BRAND_C,36,12000,432000
15491,1642492,2019-04-17,14461,Jakarta Pusat,DKI Jakarta,P4026,BRAND_W,2,2095000,4190000
15493,1642240,2019-04-17,13475,Jakarta Barat,DKI Jakarta,P1114,BRAND_D,2,2795000,5590000
15495,1642528,2019-04-17,15606,Bandung,Jawa Barat,P2865,BRAND_R,24,904000,21696000
15496,1642471,2019-04-17,17507,Jakarta Timur,DKI Jakarta,P3330,BRAND_S,4,1395000,5580000
15497,1642495,2019-04-17,15021,Jakarta Pusat,DKI Jakarta,P1082,BRAND_D,1,450000,450000
15498,1642495,2019-04-17,15021,Jakarta Pusat,DKI Jakarta,P1684,BRAND_H,1,747000,747000
15499,1642669,2019-04-17,17250,Surabaya,Jawa Timur,P1057,BRAND_D,1,590000,590000
15500,1642492,2019-04-17,14461,Jakarta Pusat,DKI Jakarta,P1770,BRAND_H,12,240000,2880000
15501,1642471,2019-04-17,17507,Jakarta Timur,DKI Jakarta,P2806,BRAND_P,4,740000,2960000
15502,1642252,2019-04-17,13239,Jakarta Pusat,DKI Jakarta,P0430,BRAND_B,12,695000,8340000
15506,1642456,2019-04-17,17019,Jakarta Pusat,DKI Jakarta,P0038,BRAND_A,6,240000,1440000
15507,1642501,2019-04-17,13408,Jakarta Timur,DKI Jakarta,P1169,BRAND_E,40,590000,23600000
15508,1642660,2019-04-17,15644,Surakarta,Jawa Tengah,P1315,BRAND_F,2,310000,620000
15509,1642531,2019-04-17,15245,Jakarta Selatan,DKI Jakarta,P1897,BRAND_J,10,695000,6950000
15510,1642285,2019-04-17,14870,Jakarta Selatan,DKI Jakarta,P2866,BRAND_R,6,1045000,6270000
15512,1642471,2019-04-17,17507,Jakarta Timur,DKI Jakarta,P0792,BRAND_C,5,747000,3735000
15513,1642456,2019-04-17,17019,Jakarta Pusat,DKI Jakarta,P2876,BRAND_R,4,86000,344000
15515,1642456,2019-04-17,17019,Jakarta Pusat,DKI Jakarta,P2792,BRAND_P,1,747000,747000
15516,1642240,2019-04-17,13475,Jakarta Barat,DKI Jakarta,P2075,BRAND_L,12,590000,7080000
15517,1642492,2019-04-17,14461,Jakarta Pusat,DKI Jakarta,P3668,BRAND_S,4,2795000,11180000
15518,1642492,2019-04-17,14461,Jakarta Pusat,DKI Jakarta,P1178,BRAND_E,3,590000,1770000
15519,1642522,2019-04-17,16859,Jakarta Selatan,DKI Jakarta,P3013,BRAND_R,3,1745000,5235000
15520,1642645,2019-04-17,15644,Surakarta,Jawa Tengah,P3003,BRAND_R,1,695000,695000
15524,1642645,2019-04-17,15644,Surakarta,Jawa Tengah,P2865,BRAND_R,2,1045000,2090000
15525,1642540,2019-04-17,17519,Jakarta Pusat,DKI Jakarta,P3362,BRAND_S,48,310000,14880000
15527,1642564,2019-04-17,16713,Yogyakarta,Yogyakarta,P1660,BRAND_G,2,2795000,5590000
15528,1642258,2019-04-17,15061,Jakarta Utara,DKI Jakarta,P2104,BRAND_L,128,590000,75520000
15530,1642531,2019-04-17,15245,Jakarta Selatan,DKI Jakarta,P2116,BRAND_M,24,159000,3816000
15532,1642465,2019-04-17,13821,Yogyakarta,Yogyakarta,P0159,BRAND_A,2,1500000,3000000
15533,1642471,2019-04-17,17507,Jakarta Timur,DKI Jakarta,P2945,BRAND_R,1,450000,450000
15534,1642456,2019-04-17,17019,Jakarta Pusat,DKI Jakarta,P3586,BRAND_S,2,450000,900000
15535,1642531,2019-04-17,15245,Jakarta Selatan,DKI Jakarta,P3256,BRAND_S,3,1745000,5235000
15537,1642648,2019-04-17,14794,Jakarta Pusat,DKI Jakarta,P2940,BRAND_R,6,904000,5424000
15539,1642615,2019-04-17,13534,Jakarta Barat,DKI Jakarta,P1906,BRAND_J,10,695000,6950000
15540,1642669,2019-04-17,17250,Surabaya,Jawa Timur,P4009,BRAND_W,4,1045000,4180000
15541,1642258,2019-04-17,15061,Jakarta Utara,DKI Jakarta,P1112,BRAND_D,20,2375000,47500000
15543,1642456,2019-04-17,17019,Jakarta Pusat,DKI Jakarta,P1312,BRAND_F,2,1745000,3490000
15546,1642543,2019-04-17,17486,Jakarta Pusat,DKI Jakarta,P3246,BRAND_S,4,1500000,6000000
15548,1642669,2019-04-17,17250,Surabaya,Jawa Timur,P3823,BRAND_V,2,1500000,3000000
15549,1642495,2019-04-17,15021,Jakarta Pusat,DKI Jakarta,P3507,BRAND_S,1,159000,159000
15550,1642495,2019-04-17,15021,Jakarta Pusat,DKI Jakarta,P2260,BRAND_M,1,450000,450000
15552,1642261,2019-04-17,15449,Bogor,Jawa Barat,P3013,BRAND_R,3,1745000,5235000
15553,1642531,2019-04-17,15245,Jakarta Selatan,DKI Jakarta,P2759,BRAND_P,12,590000,7080000
15554,1642495,2019-04-17,15021,Jakarta Pusat,DKI Jakarta,P0381,BRAND_B,1,159000,159000
15556,1642243,2019-04-17,17733,Surakarta,Jawa Tengah,P3510,BRAND_S,8,747000,5976000
15558,1642531,2019-04-17,15245,Jakarta Selatan,DKI Jakarta,P2301,BRAND_N,18,1500000,27000000
15559,1642660,2019-04-17,15644,Surakarta,Jawa Tengah,P1310,BRAND_F,1,1045000,1045000
15562,1642618,2019-04-17,16943,Jakarta Utara,DKI Jakarta,P1618,BRAND_G,6,2095000,12570000
15563,1642546,2019-04-17,13267,Yogyakarta,Yogyakarta,P3191,BRAND_S,24,159000,3816000
15564,1642492,2019-04-17,14461,Jakarta Pusat,DKI Jakarta,P3320,BRAND_S,4,1395000,5580000
15565,1642543,2019-04-17,17486,Jakarta Pusat,DKI Jakarta,P3674,BRAND_S,6,1045000,6270000
15566,1642261,2019-04-17,15449,Bogor,Jawa Barat,P0886,BRAND_C,16,240000,3840000
15567,1642495,2019-04-17,15021,Jakarta Pusat,DKI Jakarta,P1122,BRAND_D,1,2795000,2795000
15568,1642669,2019-04-17,17250,Surabaya,Jawa Timur,P2521,BRAND_P,4,1745000,6980000
15571,1642531,2019-04-17,15245,Jakarta Selatan,DKI Jakarta,P3080,BRAND_R,10,1045000,10450000
15572,1642252,2019-04-17,13239,Jakarta Pusat,DKI Jakarta,P0518,BRAND_B,48,149000,7152000
15574,1642465,2019-04-17,13821,Yogyakarta,Yogyakarta,P0169,BRAND_A,2,1325000,2650000
15575,1642645,2019-04-17,15644,Surakarta,Jawa Tengah,P1279,BRAND_F,12,159000,1908000
15576,1642216,2019-04-17,17705,Jakarta Pusat,DKI Jakarta,P1703,BRAND_H,12,590000,7080000
15578,1642648,2019-04-17,14794,Jakarta Pusat,DKI Jakarta,P3363,BRAND_S,12,310000,3720000
15579,1642540,2019-04-17,17519,Jakarta Pusat,DKI Jakarta,P0300,BRAND_B,6,904000,5424000
15580,1642645,2019-04-17,15644,Surakarta,Jawa Tengah,P2764,BRAND_P,1,590000,590000
15581,1642615,2019-04-17,13534,Jakarta Barat,DKI Jakarta,P1907,BRAND_J,10,695000,6950000
15584,1642456,2019-04-17,17019,Jakarta Pusat,DKI Jakarta,P2795,BRAND_P,1,747000,747000
15585,1642645,2019-04-17,15644,Surakarta,Jawa Tengah,P3635,BRAND_S,1,904000,904000
15586,1642606,2019-04-17,16250,Surakarta,Jawa Tengah,P1780,BRAND_H,3,2095000,6285000
15588,1642495,2019-04-17,15021,Jakarta Pusat,DKI Jakarta,P4009,BRAND_W,1,1045000,1045000
15589,1642456,2019-04-17,17019,Jakarta Pusat,DKI Jakarta,P0644,BRAND_C,1,1045000,1045000
15591,1642456,2019-04-17,17019,Jakarta Pusat,DKI Jakarta,P3906,BRAND_V,1,1325000,1325000
15592,1642255,2019-04-17,13148,Yogyakarta,Yogyakarta,P0474,BRAND_B,24,54000,1296000
15593,1642645,2019-04-17,15644,Surakarta,Jawa Tengah,P3330,BRAND_S,1,1395000,1395000
15597,1642492,2019-04-17,14461,Jakarta Pusat,DKI Jakarta,P0762,BRAND_C,1,1465000,1465000
15598,1642285,2019-04-17,14870,Jakarta Selatan,DKI Jakarta,P3371,BRAND_S,4,1325000,5300000
15600,1642252,2019-04-17,13239,Jakarta Pusat,DKI Jakarta,P2913,BRAND_R,48,149000,7152000
15602,1642258,2019-04-17,15061,Jakarta Utara,DKI Jakarta,P3080,BRAND_R,36,904000,32544000
15603,1642495,2019-04-17,15021,Jakarta Pusat,DKI Jakarta,P3319,BRAND_S,1,450000,450000
15604,1642261,2019-04-17,15449,Bogor,Jawa Barat,P2620,BRAND_P,12,310000,3720000
15605,1642495,2019-04-17,15021,Jakarta Pusat,DKI Jakarta,P2099,BRAND_L,1,590000,590000
15606,1642645,2019-04-17,15644,Surakarta,Jawa Tengah,P2097,BRAND_L,1,590000,590000
15608,1642492,2019-04-17,14461,Jakarta Pusat,DKI Jakarta,P1868,BRAND_J,4,1500000,6000000
15610,1642666,2019-04-17,14075,Jakarta Barat,DKI Jakarta,P1299,BRAND_F,24,310000,7440000
15612,1642456,2019-04-17,17019,Jakarta Pusat,DKI Jakarta,P2099,BRAND_L,3,590000,1770000
15613,1642669,2019-04-17,17250,Surabaya,Jawa Timur,P1690,BRAND_H,5,520000,2600000
15616,1642660,2019-04-17,15644,Surakarta,Jawa Tengah,P1303,BRAND_F,2,520000,1040000
15617,1642606,2019-04-17,16250,Surakarta,Jawa Tengah,P4086,BRAND_W,10,310000,3100000
15618,1642258,2019-04-17,15061,Jakarta Utara,DKI Jakarta,P2968,BRAND_R,48,3844000,184512000
15620,1642501,2019-04-17,13408,Jakarta Timur,DKI Jakarta,P0041,BRAND_A,24,310000,7440000
15622,1642555,2019-04-17,13694,Semarang,Jawa Tengah,P1890,BRAND_J,200,590000,118000000
15624,1642471,2019-04-17,17507,Jakarta Timur,DKI Jakarta,P3412,BRAND_S,1,1500000,1500000
15626,1642531,2019-04-17,15245,Jakarta Selatan,DKI Jakarta,P1906,BRAND_J,10,695000,6950000
15628,1642495,2019-04-17,15021,Jakarta Pusat,DKI Jakarta,P1723,BRAND_H,1,450000,450000
15629,1642261,2019-04-17,15449,Bogor,Jawa Barat,P3627,BRAND_S,5,1045000,5225000
15630,1642660,2019-04-17,15644,Surakarta,Jawa Tengah,P1309,BRAND_F,1,1045000,1045000
15631,1642465,2019-04-17,13821,Yogyakarta,Yogyakarta,P0162,BRAND_A,2,1500000,3000000
15633,1642471,2019-04-17,17507,Jakarta Timur,DKI Jakarta,P2169,BRAND_M,2,1045000,2090000
15636,1642531,2019-04-17,15245,Jakarta Selatan,DKI Jakarta,P3188,BRAND_S,48,159000,7632000
15637,1642495,2019-04-17,15021,Jakarta Pusat,DKI Jakarta,P0692,BRAND_C,2,450000,900000
15638,1642240,2019-04-17,13475,Jakarta Barat,DKI Jakarta,P2953,BRAND_R,12,450000,5400000
15639,1642555,2019-04-17,13694,Semarang,Jawa Tengah,P1897,BRAND_J,100,590000,59000000
15641,1642465,2019-04-17,13821,Yogyakarta,Yogyakarta,P1896,BRAND_J,2,695000,1390000
15642,1662805,2019-06-17,15311,Bogor,Jawa Barat,P3502,BRAND_S,1,303000,303000
15643,1662859,2019-06-17,17686,Bandung,Jawa Barat,P4202,BRAND_Z,12,303000,3636000
15644,1662835,2019-06-17,13831,Surabaya,Jawa Timur,P2806,BRAND_P,1,740000,740000
15645,1662454,2019-06-17,14049,Surakarta,Jawa Tengah,P2097,BRAND_L,10,590000,5900000
15646,1662454,2019-06-17,14049,Surakarta,Jawa Tengah,P3963,BRAND_W,2,695000,1390000
15647,1662454,2019-06-17,14049,Surakarta,Jawa Tengah,P0758,BRAND_C,3,695000,2085000
15648,1662979,2019-06-17,13737,Yogyakarta,Yogyakarta,P2188,BRAND_M,2,590000,1180000
15649,1662793,2019-06-17,15602,Jakarta Selatan,DKI Jakarta,P2968,BRAND_R,2,4475000,8950000
15650,1662988,2019-06-17,15796,Jakarta Barat,DKI Jakarta,P3992,BRAND_W,6,1045000,6270000
15651,1662814,2019-06-17,16422,Yogyakarta,Yogyakarta,P2704,BRAND_P,144,604000,86976000
15652,1662988,2019-06-17,15796,Jakarta Barat,DKI Jakarta,P2715,BRAND_P,6,1045000,6270000
15653,1662388,2019-06-17,14189,Jakarta Timur,DKI Jakarta,P1738,BRAND_H,24,450000,10800000
15654,1662373,2019-06-17,13339,Jakarta Selatan,DKI Jakarta,P3344,BRAND_S,12,520000,6240000
15655,1662811,2019-06-17,15046,Depok,Jawa Barat,P1692,BRAND_H,24,520000,12480000
15656,1662487,2019-06-17,16722,Bekasi,Jawa Barat,P2087,BRAND_L,30,590000,17700000
15658,1662472,2019-06-17,18283,Jakarta Selatan,DKI Jakarta,P0736,BRAND_C,2,310000,620000
15660,1662388,2019-06-17,14189,Jakarta Timur,DKI Jakarta,P1813,BRAND_I,12,747000,8964000
15661,1662826,2019-06-17,14903,Jakarta Timur,DKI Jakarta,P4075,BRAND_W,2,904000,1808000
15662,1662607,2019-06-17,13546,Bogor,Jawa Barat,P3008,BRAND_R,2,1745000,3490000
15664,1662850,2019-06-17,17686,Bandung,Jawa Barat,P0707,BRAND_C,4,3494000,13976000
15666,1662454,2019-06-17,14049,Surakarta,Jawa Tengah,P2949,BRAND_R,50,159000,7950000
15668,1662475,2019-06-17,15563,Jakarta Selatan,DKI Jakarta,P2812,BRAND_P,12,450000,5400000
15670,1662811,2019-06-17,15046,Depok,Jawa Barat,P3475,BRAND_S,12,345000,4140000
15671,1662826,2019-06-17,14903,Jakarta Timur,DKI Jakarta,P2923,BRAND_R,1,3844000,3844000
15675,1662826,2019-06-17,14903,Jakarta Timur,DKI Jakarta,P1303,BRAND_F,4,520000,2080000
15676,1662472,2019-06-17,18283,Jakarta Selatan,DKI Jakarta,P2097,BRAND_L,1,590000,590000
15678,1662826,2019-06-17,14903,Jakarta Timur,DKI Jakarta,P1329,BRAND_F,12,450000,5400000
15679,1662826,2019-06-17,14903,Jakarta Timur,DKI Jakarta,P1442,BRAND_F,6,310000,1860000
15680,1662454,2019-06-17,14049,Surakarta,Jawa Tengah,P0036,BRAND_A,12,240000,2880000
15681,1662850,2019-06-17,17686,Bandung,Jawa Barat,P0541,BRAND_B,12,450000,5400000
15684,1662373,2019-06-17,13339,Jakarta Selatan,DKI Jakarta,P1794,BRAND_H,12,520000,6240000
15685,1662454,2019-06-17,14049,Surakarta,Jawa Tengah,P2625,BRAND_P,2,450000,900000
15686,1662811,2019-06-17,15046,Depok,Jawa Barat,P1702,BRAND_H,12,310000,3720000
15687,1662376,2019-06-17,13885,Malang,Jawa Timur,P2673,BRAND_P,12,590000,7080000
15689,1662394,2019-06-17,13988,Surabaya,Jawa Timur,P0886,BRAND_C,16,240000,3840000
15690,1662826,2019-06-17,14903,Jakarta Timur,DKI Jakarta,P2968,BRAND_R,1,4475000,4475000
15691,1662841,2019-06-17,14817,Jakarta Pusat,DKI Jakarta,P1906,BRAND_J,10,740000,7400000
15692,1662454,2019-06-17,14049,Surakarta,Jawa Tengah,P4191,BRAND_Z,4,450000,1800000
15693,1662844,2019-06-17,18160,Malang,Jawa Timur,P1108,BRAND_D,2,2795000,5590000
15694,1662394,2019-06-17,13988,Surabaya,Jawa Timur,P0258,BRAND_A,4,2795000,11180000
15695,1662979,2019-06-17,13737,Yogyakarta,Yogyakarta,P0858,BRAND_C,3,1395000,4185000
15697,1662805,2019-06-17,15311,Bogor,Jawa Barat,P2938,BRAND_R,1,450000,450000
15698,1662490,2019-06-17,14573,Malang,Jawa Timur,P0722,BRAND_C,2,695000,1390000
15699,1662814,2019-06-17,16422,Yogyakarta,Yogyakarta,P0038,BRAND_A,24,240000,5760000
15700,1662454,2019-06-17,14049,Surakarta,Jawa Tengah,P0029,BRAND_A,12,310000,3720000
15703,1662454,2019-06-17,14049,Surakarta,Jawa Tengah,P1026,BRAND_D,1,2795000,2795000
15704,1662784,2019-06-17,16033,Yogyakarta,Yogyakarta,P2977,BRAND_R,2,1325000,2650000
15705,1662388,2019-06-17,14189,Jakarta Timur,DKI Jakarta,P2907,BRAND_R,12,450000,5400000
15707,1662826,2019-06-17,14903,Jakarta Timur,DKI Jakarta,P2641,BRAND_P,2,695000,1390000
15708,1662373,2019-06-17,13339,Jakarta Selatan,DKI Jakarta,P0209,BRAND_A,3,1745000,5235000
15709,1662472,2019-06-17,18283,Jakarta Selatan,DKI Jakarta,P0734,BRAND_C,2,310000,620000
15711,1662394,2019-06-17,13988,Surabaya,Jawa Timur,P4016,BRAND_W,6,1045000,6270000
15712,1662487,2019-06-17,16722,Bekasi,Jawa Barat,P1280,BRAND_F,25,159000,3975000
15714,1662970,2019-06-17,16729,Jakarta Utara,DKI Jakarta,P2416,BRAND_P,12,113000,1356000
15715,1662805,2019-06-17,15311,Bogor,Jawa Barat,P0611,BRAND_B,1,590000,590000
15717,1662835,2019-06-17,13831,Surabaya,Jawa Timur,P2259,BRAND_M,1,450000,450000
15718,1662826,2019-06-17,14903,Jakarta Timur,DKI Jakarta,P4016,BRAND_W,3,1045000,3135000
15720,1662826,2019-06-17,14903,Jakarta Timur,DKI Jakarta,P1723,BRAND_H,4,450000,1800000
15721,1662850,2019-06-17,17686,Bandung,Jawa Barat,P3286,BRAND_S,4,1325000,5300000
15722,1662841,2019-06-17,14817,Jakarta Pusat,DKI Jakarta,P1708,BRAND_H,12,590000,7080000
15723,1662826,2019-06-17,14903,Jakarta Timur,DKI Jakarta,P2226,BRAND_M,6,747000,4482000
15726,1662850,2019-06-17,17686,Bandung,Jawa Barat,P2865,BRAND_R,6,1045000,6270000
15727,1662454,2019-06-17,14049,Surakarta,Jawa Tengah,P0683,BRAND_C,12,159000,1908000
15729,1662454,2019-06-17,14049,Surakarta,Jawa Tengah,P2926,BRAND_R,2,310000,620000
15732,1662835,2019-06-17,13831,Surabaya,Jawa Timur,P1247,BRAND_E,2,1745000,3490000
15733,1662805,2019-06-17,15311,Bogor,Jawa Barat,P2147,BRAND_M,1,450000,450000
15734,1662835,2019-06-17,13831,Surabaya,Jawa Timur,P1480,BRAND_G,3,1325000,3975000
15735,1662454,2019-06-17,14049,Surakarta,Jawa Tengah,P2705,BRAND_P,6,695000,4170000
15736,1662490,2019-06-17,14573,Malang,Jawa Timur,P1923,BRAND_K,1,3494000,3494000
15738,1662481,2019-06-17,17841,Jakarta Utara,DKI Jakarta,P2764,BRAND_P,1,590000,590000
15739,1662847,2019-06-17,15769,Purwokerto,Jawa Tengah,P1902,BRAND_J,200,639000,127800000
15740,1662826,2019-06-17,14903,Jakarta Timur,DKI Jakarta,P3462,BRAND_S,6,303000,1818000
15743,1662970,2019-06-17,16729,Jakarta Utara,DKI Jakarta,P4195,BRAND_Z,12,450000,5400000
15746,1662376,2019-06-17,13885,Malang,Jawa Timur,P4026,BRAND_W,2,2095000,4190000
15747,1662454,2019-06-17,14049,Surakarta,Jawa Tengah,P0777,BRAND_C,6,310000,1860000
15749,1662454,2019-06-17,14049,Surakarta,Jawa Tengah,P4070,BRAND_W,2,5245000,10490000
15752,1662376,2019-06-17,13885,Malang,Jawa Timur,P4060,BRAND_W,2,3144000,6288000
15753,1662979,2019-06-17,13737,Yogyakarta,Yogyakarta,P1105,BRAND_D,1,2795000,2795000
15756,1662835,2019-06-17,13831,Surabaya,Jawa Timur,P2764,BRAND_P,2,590000,1180000
15757,1662826,2019-06-17,14903,Jakarta Timur,DKI Jakarta,P1112,BRAND_D,1,2795000,2795000
15759,1662472,2019-06-17,18283,Jakarta Selatan,DKI Jakarta,P1906,BRAND_J,1,740000,740000
15761,1662373,2019-06-17,13339,Jakarta Selatan,DKI Jakarta,P0591,BRAND_B,1,5945000,5945000
15764,1662475,2019-06-17,15563,Jakarta Selatan,DKI Jakarta,P2445,BRAND_P,6,205000,1230000
15767,1662454,2019-06-17,14049,Surakarta,Jawa Tengah,P4100,BRAND_W,48,113000,5424000
15769,1662481,2019-06-17,17841,Jakarta Utara,DKI Jakarta,P3729,BRAND_T,1,1045000,1045000
15770,1662544,2019-06-17,13078,Surabaya,Jawa Timur,P1830,BRAND_I,2,2987000,5974000
15771,1662454,2019-06-17,14049,Surakarta,Jawa Tengah,P3029,BRAND_R,15,590000,8850000
15772,1662805,2019-06-17,15311,Bogor,Jawa Barat,P1900,BRAND_J,3,740000,2220000
15774,1662850,2019-06-17,17686,Bandung,Jawa Barat,P2519,BRAND_P,1,4387000,4387000
15775,1662826,2019-06-17,14903,Jakarta Timur,DKI Jakarta,P0906,BRAND_C,3,450000,1350000
15776,1662373,2019-06-17,13339,Jakarta Selatan,DKI Jakarta,P0156,BRAND_A,3,2095000,6285000
15778,1662454,2019-06-17,14049,Surakarta,Jawa Tengah,P0288,BRAND_A,16,604000,9664000
15779,1662835,2019-06-17,13831,Surabaya,Jawa Timur,P0139,BRAND_A,4,800000,3200000
15780,1662454,2019-06-17,14049,Surakarta,Jawa Tengah,P3961,BRAND_W,2,695000,1390000
15781,1662835,2019-06-17,13831,Surabaya,Jawa Timur,P3669,BRAND_S,1,3494000,3494000
15782,1662475,2019-06-17,15563,Jakarta Selatan,DKI Jakarta,P1754,BRAND_H,6,310000,1860000
15783,1662481,2019-06-17,17841,Jakarta Utara,DKI Jakarta,P2673,BRAND_P,1,590000,590000
15784,1662475,2019-06-17,15563,Jakarta Selatan,DKI Jakarta,P3692,BRAND_T,6,1500000,9000000
15785,1662454,2019-06-17,14049,Surakarta,Jawa Tengah,P0776,BRAND_C,6,310000,1860000
15786,1662850,2019-06-17,17686,Bandung,Jawa Barat,P1914,BRAND_J,10,740000,7400000
15787,1662850,2019-06-17,17686,Bandung,Jawa Barat,P1435,BRAND_F,6,747000,4482000
15788,1662970,2019-06-17,16729,Jakarta Utara,DKI Jakarta,P0255,BRAND_A,16,604000,9664000
15789,1662970,2019-06-17,16729,Jakarta Utara,DKI Jakarta,P0875,BRAND_C,5,590000,2950000
15790,1662805,2019-06-17,15311,Bogor,Jawa Barat,P1906,BRAND_J,3,740000,2220000
15791,1642741,2019-04-18,13488,Surabaya,Jawa Timur,P2099,BRAND_L,10,590000,5900000
15792,1643116,2019-04-18,14056,Bekasi,Jawa Barat,P3770,BRAND_T,24,159000,3816000
15793,1642954,2019-04-18,16904,Bandung,Jawa Barat,P4185,BRAND_Z,8,450000,3600000
15794,1642990,2019-04-18,16022,Jakarta Pusat,DKI Jakarta,P1107,BRAND_D,1,2795000,2795000
15795,1643059,2019-04-18,15513,Jakarta Pusat,DKI Jakarta,P3409,BRAND_S,12,310000,3720000
15796,1643017,2019-04-18,17754,Bogor,Jawa Barat,P0659,BRAND_C,10,149000,1490000
15797,1642990,2019-04-18,16022,Jakarta Pusat,DKI Jakarta,P3004,BRAND_R,1,450000,450000
15798,1642954,2019-04-18,16904,Bandung,Jawa Barat,P1191,BRAND_E,2,2095000,4190000
15801,1643023,2019-04-18,15835,Jakarta Barat,DKI Jakarta,P1303,BRAND_F,12,520000,6240000
15802,1642705,2019-04-18,13341,Yogyakarta,Yogyakarta,P3344,BRAND_S,12,520000,6240000
15803,1642870,2019-04-18,15641,Bogor,Jawa Barat,P0518,BRAND_B,48,149000,7152000
15805,1643002,2019-04-18,16700,Jakarta Utara,DKI Jakarta,P3765,BRAND_T,24,159000,3816000
15807,1642969,2019-04-18,13263,Yogyakarta,Yogyakarta,P0740,BRAND_C,2,1325000,2650000
15808,1642975,2019-04-18,13736,Jakarta Selatan,DKI Jakarta,P3699,BRAND_T,1,450000,450000
15809,1642948,2019-04-18,18118,Jakarta Selatan,DKI Jakarta,P4188,BRAND_Z,2,2235000,4470000
15810,1642975,2019-04-18,13736,Jakarta Selatan,DKI Jakarta,P2443,BRAND_P,2,205000,410000
15811,1643062,2019-04-18,15078,Jakarta Barat,DKI Jakarta,P1901,BRAND_J,10,695000,6950000
15812,1642687,2019-04-18,16525,Yogyakarta,Yogyakarta,P4075,BRAND_W,36,747000,26892000
15813,1643137,2019-04-18,16905,Yogyakarta,Yogyakarta,P1190,BRAND_E,1,2095000,2095000
